affirmer|verb|					
https://www.cnrtl.fr/definition/2625					
http://kaiko.getalp.org/dbnary/fra/affirmer__verb__1					
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	exact	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	I._A._1.UND-1	 [Le compl. désigne une réalité matérielle] Rendre ferme, consolider	none	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	(Justice) Assurer avec serment.	http://kaiko.getalp.org/dbnary/fra/__ws_2_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	Assurer fermement.	http://kaiko.getalp.org/dbnary/fra/__ws_3_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	Rendre plus ferme.	http://kaiko.getalp.org/dbnary/fra/__ws_4_affirmer__verb__1
	I._A._1.b)UND-2	 [En parlant d'une forme, d'une couleur] Rendre (plus) précis ou plus tranché.	none	(Pronominal) Se manifester clairement, nettement.	http://kaiko.getalp.org/dbnary/fra/__ws_5_affirmer__verb__1
	I._B._2.UND-11	Présenter (énergiquement ou nettement) une chose, un fait, une déclaration, etc., comme vrai (conforme à la réalité) ou comme authentique (d'une réalité contrôlée).	related	(Logique) Exprimer qu’une chose est certaine.	http://kaiko.getalp.org/dbnary/fra/__ws_1a_affirmer__verb__1
	I._B._2.UND-11	Présenter (énergiquement ou nettement) une chose, un fait, une déclaration, etc., comme vrai (conforme à la réalité) ou comme authentique (d'une réalité contrôlée).	exact	Assurer, soutenir qu’une chose est vraie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_affirmer__verb__1
