Headword|POS|Gender	TLFi sense Ids	TLFi senses	Semantic relation	Wiktionnaire senses	Wiktionnaire sense Ids
cal|noun|masculine					
https://www.cnrtl.fr/definition/15413					
http://kaiko.getalp.org/dbnary/fra/cal__nom__1					
	UND-1	Épaississement et durcissement de l'épiderme qui se forme à la suite d'un frottement continu.	none	(Médecine) Soudure naturelle qui rejoint les fragments d’un os rompu.	http://kaiko.getalp.org/dbnary/fra/__ws_2_cal__nom__1
	UND-1	Épaississement et durcissement de l'épiderme qui se forme à la suite d'un frottement continu.	exact	(Médecine) Durillon, dureté cutanée, qui vient à la plante des pieds, à la paume de la main ou au genou par suite d’un frottement répété.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cal__nom__1
	UND-1	Épaississement et durcissement de l'épiderme qui se forme à la suite d'un frottement continu.	none	(Botanique) Amas de cellules indifférenciées produites suite à une blessure. C’est le facteur de transcription WIND1 qui est responsable de ce phénomène. Ne pas confondre avec le bourrelet de recouvrement produit par la suite par les deux méristèmes secondaires : cambium et phellogène (chez les dicotylédones et gymnospermes).	http://kaiko.getalp.org/dbnary/fra/__ws_3_cal__nom__1
	UND-2	Tissu de régénération osseuse qui soude les deux fragments d'un os fracturé	exact	(Médecine) Soudure naturelle qui rejoint les fragments d’un os rompu.	http://kaiko.getalp.org/dbnary/fra/__ws_2_cal__nom__1
	UND-2	Tissu de régénération osseuse qui soude les deux fragments d'un os fracturé	none	(Médecine) Durillon, dureté cutanée, qui vient à la plante des pieds, à la paume de la main ou au genou par suite d’un frottement répété.	http://kaiko.getalp.org/dbnary/fra/__ws_1_cal__nom__1
	UND-2	Tissu de régénération osseuse qui soude les deux fragments d'un os fracturé	none	(Botanique) Amas de cellules indifférenciées produites suite à une blessure. C’est le facteur de transcription WIND1 qui est responsable de ce phénomène. Ne pas confondre avec le bourrelet de recouvrement produit par la suite par les deux méristèmes secondaires : cambium et phellogène (chez les dicotylédones et gymnospermes).	http://kaiko.getalp.org/dbnary/fra/__ws_3_cal__nom__1
pluralité|noun|feminine					
https://www.cnrtl.fr/definition/65733					
http://kaiko.getalp.org/dbnary/fra/pluralité__nom__1					
	A._UND-1	Fait d'être plusieurs, d'exister en grand nombre et, caractère de ce qui est multiple.	related	Grand nombre, grande quantité, multiplicité.	http://kaiko.getalp.org/dbnary/fra/__ws_1_pluralité__nom__1
	A._UND-1	Fait d'être plusieurs, d'exister en grand nombre et, caractère de ce qui est multiple.	none	(Désuet) Majorité.	http://kaiko.getalp.org/dbnary/fra/__ws_2_pluralité__nom__1
	A._UND-2	Grand nombre, multitude.	exact	Grand nombre, grande quantité, multiplicité.	http://kaiko.getalp.org/dbnary/fra/__ws_1_pluralité__nom__1
	A._UND-2	Grand nombre, multitude.	none	(Désuet) Majorité.	http://kaiko.getalp.org/dbnary/fra/__ws_2_pluralité__nom__1
	UND-3	Nombre pluriel.	none	Grand nombre, grande quantité, multiplicité.	http://kaiko.getalp.org/dbnary/fra/__ws_1_pluralité__nom__1
	UND-3	Nombre pluriel.	none	(Désuet) Majorité.	http://kaiko.getalp.org/dbnary/fra/__ws_2_pluralité__nom__1
	UND-4	Dans un vote, groupement de voix qui l'emporte par le nombre.	none	Grand nombre, grande quantité, multiplicité.	http://kaiko.getalp.org/dbnary/fra/__ws_1_pluralité__nom__1
	UND-4	Dans un vote, groupement de voix qui l'emporte par le nombre.	exact	(Désuet) Majorité.	http://kaiko.getalp.org/dbnary/fra/__ws_2_pluralité__nom__1
capitalisation|noun|feminine					
https://www.cnrtl.fr/definition/15989					
http://kaiko.getalp.org/dbnary/fra/capitalisation__nom__1					
	UND-1	Accumulation d'intérêts ou de bénéfices de manière à former ou à grossir un capital.	none	(Rare) (Typographie) Action de mettre en lettres capitales.	http://kaiko.getalp.org/dbnary/fra/__ws_2_capitalisation__nom__1
	UND-1	Accumulation d'intérêts ou de bénéfices de manière à former ou à grossir un capital.	related	(Finance) Action de capitaliser.	http://kaiko.getalp.org/dbnary/fra/__ws_1_capitalisation__nom__1
