idyllique|adjective|
https://www.cnrtl.fr/definition/42729
http://kaiko.getalp.org/dbnary/fra/idyllique__adj__1
	B._UND-2	Qui tient de l'idylle par le décor, la vie champêtre, la beauté de la nature.		Qui rappelle l’idylle par le décor champêtre, l’amour tendre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_idyllique__adj__1
	B._UND-3	Empreint d'un sentiment tendre et idéal.		Qui rappelle l’idylle par le décor champêtre, l’amour tendre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_idyllique__adj__1
	B._UND-4	Qui relève du rêve.		Qui rappelle l’idylle par le décor champêtre, l’amour tendre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_idyllique__adj__1
	UND-1	Relatif à l'idylle, au genre littéraire qu'elle constitue.		Qui rappelle l’idylle par le décor champêtre, l’amour tendre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_idyllique__adj__1
judiciaire|adjective|
https://www.cnrtl.fr/definition/46811
http://kaiko.getalp.org/dbnary/fra/judiciaire__adj__1
	B._UND-2	Acte qui est accompli en justice sous la surveillance du juge :		Relatif au déroulement d’un procès.	http://kaiko.getalp.org/dbnary/fra/__ws_2_judiciaire__adj__1
	B._UND-3	Bail d'un héritage saisi réellement, fait à la poursuite du commissaire aux saisies réelles. On disait, dans un sens analogue,		Relatif au déroulement d’un procès.	http://kaiko.getalp.org/dbnary/fra/__ws_2_judiciaire__adj__1
	B._UND-4	Celui des trois genres d'éloquence par lequel on accuse ou l'on défend.		Relatif au déroulement d’un procès.	http://kaiko.getalp.org/dbnary/fra/__ws_2_judiciaire__adj__1
	B._UND-5	Toute personne appelée à déposer en justice		Relatif au déroulement d’un procès.	http://kaiko.getalp.org/dbnary/fra/__ws_2_judiciaire__adj__1
	C._UND-7	Art de connaître, de prédire l'avenir par l'observation, l'étude et la connaissance des astres, c'est-à-dire par le jugement, par opposition à l'astrologie naturelle ou astronomie.		Relatif au déroulement d’un procès.	http://kaiko.getalp.org/dbnary/fra/__ws_2_judiciaire__adj__1
	C._UND-8	Faculté de jugement, de discernement, d'appréciation.		Relatif au déroulement d’un procès.	http://kaiko.getalp.org/dbnary/fra/__ws_2_judiciaire__adj__1
	UND-1	Qui se rapporte à la Justice, à l'administration de la Justice.		Relatif au déroulement d’un procès.	http://kaiko.getalp.org/dbnary/fra/__ws_2_judiciaire__adj__1
	UND-6	Qui se fait en justice; qui est ordonné par décision, par voie, par autorité de justice; qui a lieu, se produit au cours d'une action en justice.		Relatif au déroulement d’un procès.	http://kaiko.getalp.org/dbnary/fra/__ws_2_judiciaire__adj__1
	UND-9	Qui est relatif au jugement (v. ce mot D 1).		Relatif au déroulement d’un procès.	http://kaiko.getalp.org/dbnary/fra/__ws_2_judiciaire__adj__1
préhistorique|adjective|
https://www.cnrtl.fr/definition/68094
http://kaiko.getalp.org/dbnary/fra/préhistorique__adj__1
	B._UND-2	Qui vivait à l'époque de la préhistoire.		Relatif à la préhistoire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_préhistorique__adj__1
	B._UND-3	Qui concerne la préhistoire, s'intéresse à elle comme objet d'études.		Relatif à la préhistoire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_préhistorique__adj__1
	B._UND-4	Qui date de la préhistoire; qui remonte à cette époque.		Relatif à la préhistoire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_préhistorique__adj__1
	UND-1	Antérieur à l'apparition des témoignages écrits et à l'emploi des métaux.		Relatif à la préhistoire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_préhistorique__adj__1
	UND-5	Relatif à la préhistoire.		Relatif à la préhistoire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_préhistorique__adj__1
	UND-6	Très ancien, suranné, passé de mode.		Relatif à la préhistoire.	http://kaiko.getalp.org/dbnary/fra/__ws_1_préhistorique__adj__1
excitable|adjective|
https://www.cnrtl.fr/definition/32892
http://kaiko.getalp.org/dbnary/fra/excitable__adj__1
	UND-1	Qui se laisse facilement exciter, qui réagit fortement (à une action extérieure, émotion, situation, etc.).		Qui est susceptible d’être excité.	http://kaiko.getalp.org/dbnary/fra/__ws_1_excitable__adj__1
