parricide|noun|masculine
https://www.cnrtl.fr/definition/61175
http://kaiko.getalp.org/dbnary/fra/parricide__nom__1
	UND-1	Crime commis par un ou une parricide.		Meurtre par lequel quelqu’un tue un de ses parents, père, mère ou proche dans la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_1_parricide__nom__1
	UND-1	Crime commis par un ou une parricide.		(Par extension) Personne qui tue un personnage qui est considéré comme un père : un souverain, un protecteur, un bienfaiteur de l’humanité, par exemple.	http://kaiko.getalp.org/dbnary/fra/__ws_3_parricide__nom__1
	UND-1	Crime commis par un ou une parricide.		(Par extension) Personne commettant un tel acte ou meurtre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_parricide__nom__1
	UND-2	I A]		Meurtre par lequel quelqu’un tue un de ses parents, père, mère ou proche dans la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_1_parricide__nom__1
	UND-2	I A]		(Par extension) Personne qui tue un personnage qui est considéré comme un père : un souverain, un protecteur, un bienfaiteur de l’humanité, par exemple.	http://kaiko.getalp.org/dbnary/fra/__ws_3_parricide__nom__1
	UND-2	I A]		(Par extension) Personne commettant un tel acte ou meurtre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_parricide__nom__1
	UND-3	I B 3]		Meurtre par lequel quelqu’un tue un de ses parents, père, mère ou proche dans la famille.	http://kaiko.getalp.org/dbnary/fra/__ws_1_parricide__nom__1
	UND-3	I B 3]		(Par extension) Personne qui tue un personnage qui est considéré comme un père : un souverain, un protecteur, un bienfaiteur de l’humanité, par exemple.	http://kaiko.getalp.org/dbnary/fra/__ws_3_parricide__nom__1
	UND-3	I B 3]		(Par extension) Personne commettant un tel acte ou meurtre.	http://kaiko.getalp.org/dbnary/fra/__ws_2_parricide__nom__1
belette|noun|feminine
https://www.cnrtl.fr/definition/12147
http://kaiko.getalp.org/dbnary/fra/belette__nom__1
	UND-1	Petit mammifère carnassier, bas sur pattes, de forme allongée, de couleur fauve, au museau pointu, d'une grande agilité.		(Affectueux) Jeune fille ou jeune femme charmante.	http://kaiko.getalp.org/dbnary/fra/__ws_2_belette__nom__1
	UND-1	Petit mammifère carnassier, bas sur pattes, de forme allongée, de couleur fauve, au museau pointu, d'une grande agilité.		(Québec) Curieux, personne curieuse.	http://kaiko.getalp.org/dbnary/fra/__ws_4_belette__nom__1
	UND-1	Petit mammifère carnassier, bas sur pattes, de forme allongée, de couleur fauve, au museau pointu, d'une grande agilité.		(Zoologie) Petit mammifère carnassier, de forme effilée et de couleur rousse, qui a le museau pointu et les pattes courtes (Mustela nivalis).	http://kaiko.getalp.org/dbnary/fra/__ws_1_belette__nom__1
	UND-1	Petit mammifère carnassier, bas sur pattes, de forme allongée, de couleur fauve, au museau pointu, d'une grande agilité.		(Argot) Fille naïve et idiote, féminin argotique de « blaireau ».	http://kaiko.getalp.org/dbnary/fra/__ws_3_belette__nom__1
fantassin|noun|masculine
https://www.cnrtl.fr/definition/33562
http://kaiko.getalp.org/dbnary/fra/fantassin__nom__1
	UND_1	Soldat d'infanterie.		Soldat combattant à pied ; soldat d’infanterie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_fantassin__nom__1
carquois|noun|masculine
https://www.cnrtl.fr/definition/16530
http://kaiko.getalp.org/dbnary/fra/carquois__nom__1
	A._1.UND-2	Lancer tous les traits dont on est capable.		Étui à flèches.	http://kaiko.getalp.org/dbnary/fra/__ws_1_carquois__nom__1
	A._1.UND-2	Lancer tous les traits dont on est capable.		(Cycle du combustible nucléaire) Étui conçu pour la manutention, le transport ou l’entreposage des crayons de combustible nucléaire.	http://kaiko.getalp.org/dbnary/fra/__ws_2_carquois__nom__1
	A._1.UND-3	Avoir un (des) trait(s) en réserve.		Étui à flèches.	http://kaiko.getalp.org/dbnary/fra/__ws_1_carquois__nom__1
	A._1.UND-3	Avoir un (des) trait(s) en réserve.		(Cycle du combustible nucléaire) Étui conçu pour la manutention, le transport ou l’entreposage des crayons de combustible nucléaire.	http://kaiko.getalp.org/dbnary/fra/__ws_2_carquois__nom__1
	A._UND-1	Motif décoratif en forme de carquois.		Étui à flèches.	http://kaiko.getalp.org/dbnary/fra/__ws_1_carquois__nom__1
	A._UND-1	Motif décoratif en forme de carquois.		(Cycle du combustible nucléaire) Étui conçu pour la manutention, le transport ou l’entreposage des crayons de combustible nucléaire.	http://kaiko.getalp.org/dbnary/fra/__ws_2_carquois__nom__1
	A._UND-4	Ne pas voir le jour :		Étui à flèches.	http://kaiko.getalp.org/dbnary/fra/__ws_1_carquois__nom__1
	A._UND-4	Ne pas voir le jour :		(Cycle du combustible nucléaire) Étui conçu pour la manutention, le transport ou l’entreposage des crayons de combustible nucléaire.	http://kaiko.getalp.org/dbnary/fra/__ws_2_carquois__nom__1
	UND-6	Étui à flèches.		Étui à flèches.	http://kaiko.getalp.org/dbnary/fra/__ws_1_carquois__nom__1
	UND-6	Étui à flèches.		(Cycle du combustible nucléaire) Étui conçu pour la manutention, le transport ou l’entreposage des crayons de combustible nucléaire.	http://kaiko.getalp.org/dbnary/fra/__ws_2_carquois__nom__1
	UND-7	Étui destiné à contenir des objets de forme allongée.		Étui à flèches.	http://kaiko.getalp.org/dbnary/fra/__ws_1_carquois__nom__1
	UND-7	Étui destiné à contenir des objets de forme allongée.		(Cycle du combustible nucléaire) Étui conçu pour la manutention, le transport ou l’entreposage des crayons de combustible nucléaire.	http://kaiko.getalp.org/dbnary/fra/__ws_2_carquois__nom__1
septum|noun|masculine
https://www.cnrtl.fr/definition/78090
http://kaiko.getalp.org/dbnary/fra/septum__nom__1
	UND-1	Lame fibreuse verticale dont la base s'insère sur la membrane [du muscle hyoglosse] (...) et sur l'os hyoïde et qui chemine entre les faisceaux musculaires jusque vers la pointe de la langue		(Biologie) Cloison membraneuse qui délimite deux cavités.	http://kaiko.getalp.org/dbnary/fra/__ws_1_septum__nom__1
	UND-2	Cloison séparant les fosses nasales.		(Biologie) Cloison membraneuse qui délimite deux cavités.	http://kaiko.getalp.org/dbnary/fra/__ws_1_septum__nom__1
	UND_1	Cloison séparant deux cavités, deux parties d'organe.		(Biologie) Cloison membraneuse qui délimite deux cavités.	http://kaiko.getalp.org/dbnary/fra/__ws_1_septum__nom__1
tarentule|noun|feminine
https://www.cnrtl.fr/definition/83649
http://kaiko.getalp.org/dbnary/fra/tarentule__nom__1
	B._UND-2	Être saisi par une grande excitation; éprouver un engouement, une passion irrépressible.		(Zoologie) Grosse araignée dont la morsure passait pour produire une grande excitation nerveuse. Le terme désigne, dans le langage commun, les araignées de la famille des Lycosidae ou araignée-loups.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tarentule__nom__1
	B._UND-2	Être saisi par une grande excitation; éprouver un engouement, une passion irrépressible.		(Zoologie) Le nom d’une Espèce de petit lézard.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tarentule__nom__1
	B._UND-3	Engouement, passion soudaine irrépressible.		(Zoologie) Grosse araignée dont la morsure passait pour produire une grande excitation nerveuse. Le terme désigne, dans le langage commun, les araignées de la famille des Lycosidae ou araignée-loups.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tarentule__nom__1
	B._UND-3	Engouement, passion soudaine irrépressible.		(Zoologie) Le nom d’une Espèce de petit lézard.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tarentule__nom__1
	UND-1	Grosse araignée, commune dans l'Europe méridionale, dont la piqûre douloureuse était supposée transmettre le tarentisme.		(Zoologie) Grosse araignée dont la morsure passait pour produire une grande excitation nerveuse. Le terme désigne, dans le langage commun, les araignées de la famille des Lycosidae ou araignée-loups.	http://kaiko.getalp.org/dbnary/fra/__ws_1_tarentule__nom__1
	UND-1	Grosse araignée, commune dans l'Europe méridionale, dont la piqûre douloureuse était supposée transmettre le tarentisme.		(Zoologie) Le nom d’une Espèce de petit lézard.	http://kaiko.getalp.org/dbnary/fra/__ws_2_tarentule__nom__1
millionième|noun|masculine
https://www.cnrtl.fr/definition/53287
http://kaiko.getalp.org/dbnary/fra/millionième__nom__1
	UND-1	Qui occupe le rang marqué par le nombre d'un million (		Élément ordinal, correspondant au cardinal million.	http://kaiko.getalp.org/dbnary/fra/__ws_1_millionième__nom__1
	UND-1	Qui occupe le rang marqué par le nombre d'un million (		(Au masculin) Fraction obtenue en divisant un million de fois.	http://kaiko.getalp.org/dbnary/fra/__ws_2_millionième__nom__1
	UND-2	Une des parties d'un tout divisé en un million de parties égales.		Élément ordinal, correspondant au cardinal million.	http://kaiko.getalp.org/dbnary/fra/__ws_1_millionième__nom__1
	UND-2	Une des parties d'un tout divisé en un million de parties égales.		(Au masculin) Fraction obtenue en divisant un million de fois.	http://kaiko.getalp.org/dbnary/fra/__ws_2_millionième__nom__1
débat|noun|masculine
https://www.cnrtl.fr/definition/24367
http://kaiko.getalp.org/dbnary/fra/débat__nom__1
	UND-1	Action de débattre; discussion généralement animée entre interlocuteurs exposant souvent des idées opposées sur un sujet donné.		(Par extension) Contestation, altercation.	http://kaiko.getalp.org/dbnary/fra/__ws_2_débat__nom__1
	UND-1	Action de débattre; discussion généralement animée entre interlocuteurs exposant souvent des idées opposées sur un sujet donné.		(Droit) Discussion publique.	http://kaiko.getalp.org/dbnary/fra/__ws_4_débat__nom__1
	UND-1	Action de débattre; discussion généralement animée entre interlocuteurs exposant souvent des idées opposées sur un sujet donné.		Action de débattre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_débat__nom__1
	UND-1	Action de débattre; discussion généralement animée entre interlocuteurs exposant souvent des idées opposées sur un sujet donné.		(Au pluriel) (Politique) Discussion, en parlant des assemblées politiques.	http://kaiko.getalp.org/dbnary/fra/__ws_3_débat__nom__1
	UND-2	Pour désigner les contestations faites par une partie à propos d'un compte rendu en justice (		(Par extension) Contestation, altercation.	http://kaiko.getalp.org/dbnary/fra/__ws_2_débat__nom__1
	UND-2	Pour désigner les contestations faites par une partie à propos d'un compte rendu en justice (		(Droit) Discussion publique.	http://kaiko.getalp.org/dbnary/fra/__ws_4_débat__nom__1
	UND-2	Pour désigner les contestations faites par une partie à propos d'un compte rendu en justice (		Action de débattre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_débat__nom__1
	UND-2	Pour désigner les contestations faites par une partie à propos d'un compte rendu en justice (		(Au pluriel) (Politique) Discussion, en parlant des assemblées politiques.	http://kaiko.getalp.org/dbnary/fra/__ws_3_débat__nom__1
	UND-3	Examen d'une question par les assemblées parlementaires.		(Par extension) Contestation, altercation.	http://kaiko.getalp.org/dbnary/fra/__ws_2_débat__nom__1
	UND-3	Examen d'une question par les assemblées parlementaires.		(Droit) Discussion publique.	http://kaiko.getalp.org/dbnary/fra/__ws_4_débat__nom__1
	UND-3	Examen d'une question par les assemblées parlementaires.		Action de débattre.	http://kaiko.getalp.org/dbnary/fra/__ws_1_débat__nom__1
	UND-3	Examen d'une question par les assemblées parlementaires.		(Au pluriel) (Politique) Discussion, en parlant des assemblées politiques.	http://kaiko.getalp.org/dbnary/fra/__ws_3_débat__nom__1
